name	full name	commit	python_version
pillow	python-pillow/Pillow	da59ad0 3.12
pillow	python-pillow/Pillow	d594f4c 3.11
pillow	python-pillow/Pillow	8013f13	3.10
pillow	python-pillow/Pillow	235a7d6	3.9
pillow	python-pillow/Pillow	6e0f07b	3.8
pillow	python-pillow/Pillow	c28bf86	3.7
pillow	python-pillow/Pillow	a021d49	3.6
pillow	python-pillow/Pillow	baea361	3.5
youtube-dl	ytdl-org/youtube-dl	a08f2b7	3.12
youtube-dl	ytdl-org/youtube-dl	a8b3150	3.9
pytorch	pytorch/pytorch	d990dad 3.12
pytorch	pytorch/pytorch	8ac9b20	3.11
pytorch	pytorch/pytorch	7c98e70	3.10
django	django/django	dff9657	3.12
django	django/django	7dfd29b	3.11
django	django/django	1b3c0d3	3.10
fastapi	fastapi/fastapi	10fbfd6	3.11
fastapi	fastapi/fastapi	d08a062	3.10
fastapi	fastapi/fastapi	ab33ba2	3.9
flask	pallets/flask	9101439	3.13
flask	pallets/flask	1f40c77	3.10
scikit-learn	scikit-learn/scikit-learn	9b03375	3.10
scikit-learn	scikit-learn/scikit-learn	5f3c3f0	3.8
scrapy	scrapy/scrapy	21b6dc5	3.12
scrapy	scrapy/scrapy	2122278	drop 3.7
scrapy	scrapy/scrapy	92f2d75	3.11
scrapy	scrapy/scrapy	407562b	drop 3.6
scrapy	scrapy/scrapy	cfff79c	3.10
scrapy	scrapy/scrapy	42e4dbb	3.9
scrapy	scrapy/scrapy	4e939ca	3.8
scrapy	scrapy/scrapy	cdd04df	3.7
pandas	pandas-dev/pandas	f538741	3.12
pandas	pandas-dev/pandas	8dab54d	3.11
pandas	pandas-dev/pandas	ca60aab	3.10
airflow	apache/airflow	c5597d1	3.11
airflow	apache/airflow	4c28c2a	3.10
airflow	apache/airflow	ce44b62	3.9
black	psf/black	80a166f	3.12
black	psf/black	c0089ef	3.11
black	psf/black	3b2a7d1	3.10
black	psf/black	dd2f86a	3.9
black	psf/black	c53853f	3.8
numpy	numpy/numpy	db4f439	3.11
numpy	numpy/numpy	54c52f1	3.10
numpy	numpy/numpy	b235f9e	3.9
numpy	numpy/numpy	92ebe1e	3.8
numpy	numpy/numpy	ccfbcc1	3.7
sc2reader GraylinKim/sc2reader d69feb4 3.3
